ID,Genotype
0026843-S,UNL107
0026844-C,UNL107
26303,UNL107
26304,UNL107
023557-C,UNL107
023558-S,UNL107
024137-S,UNL107
024138-C,UNL107
0026401-S,UNL108
0026402-C,UNL108
25798,UNL108
25799,UNL108
023965-C,UNL108
023966-S,UNL108
024093-S,UNL108
024094-C,UNL108
0027116-S,UNL109
0027117-C,UNL109
26155,UNL109
26156,UNL109
024089-S,UNL109
024090-C,UNL109
0026425-C,UNL110
0026426-S,UNL110
25975,UNL110
25976,UNL110
023913-C,UNL110
023914-S,UNL110
0026480-S,UNL111
0026481-C,UNL111
26266,UNL111
26267,UNL111
023865-S,UNL111
023866-C,UNL111
024105-S,UNL111
024106-C,UNL111
0026652-C,UNL112
0026653-S,UNL112
25990,UNL112
25991,UNL112
024127-S,UNL112
024128-C,UNL112
0027059-S,UNL113
0027060-C,UNL113
26056,UNL113
26057,UNL113
023793-S,UNL113
023794-C,UNL113
024021-C,UNL113
024022-S,UNL113
0026658-S,UNL114
0026659-C,UNL114
25895,UNL114
25896,UNL114
024161-S,UNL114
024162-C,UNL114
0026496-C,UNL115
0026497-S,UNL115
25830,UNL115
25831,UNL115
023875-C,UNL115
023876-S,UNL115
024047-C,UNL115
024048-S,UNL115
0026943-S,UNL116
0026944-C,UNL116
26133,UNL116
26134,UNL116
023831-S,UNL116
023832-C,UNL116
0026916-C,UNL117
0026917-S,UNL117
25818,UNL117
25819,UNL117
023787-C,UNL117
023788-S,UNL117
0026460-S,UNL118
0026461-C,UNL118
26173,UNL118
26174,UNL118
024389-C,UNL118
024390-S,UNL118
0027124-S,UNL119
0027125-C,UNL119
26236,UNL119
26237,UNL119
024205-S,UNL119
024206-C,UNL119
0026417-C,UNL120
0026418-S,UNL120
26331,UNL120
26332,UNL120
023839-C,UNL120
023840-S,UNL120
024327-C,UNL120
024328-S,UNL120
0026735-S,UNL121
0026736-C,UNL121
25747,UNL121
25748,UNL121
023933-S,UNL121
023934-C,UNL121
024351-S,UNL121
024352-C,UNL121
0026922-C,UNL122
0026923-S,UNL122
25618,UNL122
25619,UNL122
024247-S,UNL122
024248-C,UNL122
0026409-C,UNL123
0026410-S,UNL123
25891,UNL123
25892,UNL123
023745-C,UNL123
023746-S,UNL123
0026466-C,UNL124
0026467-S,UNL124
25610,UNL124
25611,UNL124
024195-C,UNL124
024196-S,UNL124
0026444-C,UNL125
0026445-S,UNL125
25731,UNL125
25732,UNL125
023905-S,UNL125
023906-C,UNL125
0026436-C,UNL126
0026437-S,UNL126
26048,UNL126
26049,UNL126
023601-S,UNL126
023602-C,UNL126
0026643-S,UNL127
0026644-C,UNL127
26218,UNL127
26219,UNL127
023715-S,UNL127
023716-C,UNL127
024319-C,UNL127
024320-S,UNL127
0027063-S,UNL128
0027064-C,UNL128
26214,UNL128
26215,UNL128
024381-S,UNL128
024382-C,UNL128
0026949-C,UNL129
0026950-S,UNL129
26212,UNL129
26213,UNL129
023997-S,UNL129
023998-C,UNL129
0026680-C,UNL130
0026681-S,UNL130
25707,UNL130
25708,UNL130
024083-C,UNL130
024084-S,UNL130
0026706-C,UNL131
0026707-S,UNL131
25661,UNL131
25662,UNL131
023987-S,UNL131
023988-C,UNL131
0026367-S,UNL132
0026368-C,UNL132
25517,UNL132
25518,UNL132
024287-C,UNL132
024288-S,UNL132
0027088-S,UNL133
0027089-C,UNL133
26063,UNL133
26064,UNL133
023761-C,UNL133
023762-S,UNL133
024345-S,UNL133
024346-C,UNL133
0026767-S,UNL134
0026768-C,UNL134
26099,UNL134
26100,UNL134
024301-C,UNL134
024302-S,UNL134
0026440-S,UNL135
0026441-C,UNL135
25521,UNL135
25522,UNL135
023679-S,UNL135
023680-C,UNL135
0026553-C,UNL136
0026554-S,UNL136
25590,UNL136
25591,UNL136
023661-S,UNL136
023662-C,UNL136
0027122-S,UNL137
0027123-C,UNL137
25755,UNL137
25756,UNL137
024337-S,UNL137
024338-C,UNL137
0027185-C,UNL138
0027186-S,UNL138
26135,UNL138
26136,UNL138
023829-C,UNL138
023830-S,UNL138
024361-S,UNL138
024362-C,UNL138
0027191-C,UNL139
0027192-S,UNL139
25578,UNL139
25579,UNL139
023603-C,UNL139
023604-S,UNL139
0026470-C,UNL140
0026471-S,UNL140
25685,UNL140
25686,UNL140
023667-C,UNL140
023668-S,UNL140
024145-C,UNL140
024146-S,UNL140
0026700-S,UNL141
